"ImageId","Label","NA"
0,0,6
1,1,9
2,2,3
3,3,1
4,4,9
5,5,9
6,6,1
7,7,0
8,8,6
9,9,1
10,10,9
11,11,9
12,12,2
13,13,9
14,14,9
15,15,6
16,16,6
17,17,1
18,18,9
19,19,9
20,20,6
21,21,6
22,22,3
23,23,8
24,24,9
25,25,1
26,26,6
27,27,0
28,28,0
29,29,1
30,30,8
31,31,1
32,32,6
33,33,9
34,34,6
35,35,2
36,36,6
37,37,6
38,38,6
39,39,8
40,40,9
41,41,9
42,42,6
43,43,8
44,44,9
45,45,1
46,46,9
47,47,9
48,48,9
49,49,9
50,50,1
51,51,9
52,52,8
53,53,7
54,54,9
55,55,7
56,56,9
57,57,8
58,58,9
59,59,6
60,60,6
61,61,1
62,62,0
63,63,3
64,64,0
65,65,8
66,66,6
67,67,1
68,68,9
69,69,0
70,70,6
71,71,7
72,72,1
73,73,1
74,74,6
75,75,5
76,76,0
77,77,9
78,78,0
79,79,9
80,80,8
81,81,0
82,82,8
83,83,8
84,84,8
85,85,3
86,86,0
87,87,6
88,88,7
89,89,9
90,90,6
91,91,0
92,92,0
93,93,9
94,94,6
95,95,9
96,96,0
97,97,8
98,98,0
99,99,1
100,100,9
101,101,3
102,102,6
103,103,8
104,104,8
105,105,6
106,106,8
107,107,6
108,108,0
109,109,2
110,110,0
111,111,6
112,112,3
113,113,9
114,114,7
115,115,9
116,116,6
117,117,8
118,118,3
119,119,9
120,120,0
121,121,6
122,122,0
123,123,9
124,124,1
125,125,1
126,126,9
127,127,7
128,128,0
129,129,0
130,130,9
131,131,0
132,132,6
133,133,8
134,134,9
135,135,1
136,136,3
137,137,8
138,138,2
139,139,6
140,140,1
141,141,1
142,142,7
143,143,1
144,144,1
145,145,9
146,146,7
147,147,8
148,148,0
149,149,9
150,150,6
151,151,8
152,152,0
153,153,0
154,154,9
155,155,9
156,156,9
157,157,5
158,158,9
159,159,6
160,160,9
161,161,6
162,162,0
163,163,0
164,164,9
165,165,3
166,166,0
167,167,0
168,168,3
169,169,8
170,170,3
171,171,6
172,172,9
173,173,9
174,174,9
175,175,7
176,176,1
177,177,1
178,178,8
179,179,6
180,180,0
181,181,8
182,182,6
183,183,7
184,184,6
185,185,2
186,186,9
187,187,1
188,188,6
189,189,0
190,190,1
191,191,1
192,192,9
193,193,1
194,194,6
195,195,6
196,196,0
197,197,9
198,198,8
199,199,8
200,200,2
201,201,2
202,202,9
203,203,9
204,204,9
205,205,6
206,206,8
207,207,9
208,208,3
209,209,0
210,210,9
211,211,1
212,212,0
213,213,0
214,214,6
215,215,6
216,216,6
217,217,9
218,218,1
219,219,1
220,220,6
221,221,1
222,222,6
223,223,9
224,224,1
225,225,8
226,226,9
227,227,6
228,228,0
229,229,9
230,230,8
231,231,0
232,232,8
233,233,3
234,234,9
235,235,1
236,236,0
237,237,0
238,238,1
239,239,6
240,240,9
241,241,9
242,242,9
243,243,9
244,244,8
245,245,9
246,246,1
247,247,0
248,248,1
249,249,0
250,250,9
251,251,9
252,252,6
253,253,1
254,254,6
255,255,0
256,256,9
257,257,4
258,258,1
259,259,8
260,260,6
261,261,8
262,262,3
263,263,9
264,264,7
265,265,1
266,266,0
267,267,6
268,268,9
269,269,8
270,270,7
271,271,6
272,272,9
273,273,0
274,274,8
275,275,6
276,276,1
277,277,6
278,278,3
279,279,9
280,280,1
281,281,6
282,282,4
283,283,1
284,284,8
285,285,6
286,286,3
287,287,9
288,288,1
289,289,9
290,290,9
291,291,8
292,292,9
293,293,6
294,294,9
295,295,6
296,296,9
297,297,1
298,298,4
299,299,0
300,300,0
301,301,6
302,302,1
303,303,8
304,304,6
305,305,7
306,306,6
307,307,8
308,308,2
309,309,6
310,310,0
311,311,0
312,312,7
313,313,9
314,314,8
315,315,9
316,316,0
317,317,1
318,318,2
319,319,1
320,320,9
321,321,1
322,322,1
323,323,1
324,324,6
325,325,1
326,326,6
327,327,9
328,328,3
329,329,0
330,330,1
331,331,0
332,332,1
333,333,6
334,334,9
335,335,6
336,336,0
337,337,0
338,338,9
339,339,3
340,340,9
341,341,9
342,342,6
343,343,8
344,344,1
345,345,1
346,346,8
347,347,8
348,348,0
349,349,6
350,350,9
351,351,9
352,352,1
353,353,9
354,354,6
355,355,1
356,356,6
357,357,6
358,358,7
359,359,6
360,360,1
361,361,0
362,362,8
363,363,6
364,364,6
365,365,0
366,366,8
367,367,6
368,368,8
369,369,1
370,370,0
371,371,9
372,372,6
373,373,0
374,374,1
375,375,3
376,376,6
377,377,4
378,378,0
379,379,8
380,380,9
381,381,8
382,382,9
383,383,0
384,384,0
385,385,1
386,386,1
387,387,4
388,388,0
389,389,1
390,390,1
391,391,8
392,392,3
393,393,2
394,394,1
395,395,1
396,396,1
397,397,0
398,398,1
399,399,6
400,400,9
401,401,9
402,402,8
403,403,9
404,404,9
405,405,6
406,406,6
407,407,6
408,408,0
409,409,9
410,410,9
411,411,6
412,412,9
413,413,6
414,414,6
415,415,6
416,416,9
417,417,0
418,418,0
419,419,8
420,420,0
421,421,9
422,422,0
423,423,9
424,424,0
425,425,9
426,426,7
427,427,6
428,428,8
429,429,1
430,430,7
431,431,0
432,432,9
433,433,1
434,434,1
435,435,9
436,436,1
437,437,6
438,438,3
439,439,9
440,440,1
441,441,6
442,442,6
443,443,9
444,444,9
445,445,8
446,446,3
447,447,6
448,448,6
449,449,6
450,450,9
451,451,9
452,452,9
453,453,8
454,454,1
455,455,9
456,456,9
457,457,6
458,458,7
459,459,6
460,460,1
461,461,8
462,462,4
463,463,6
464,464,0
465,465,1
466,466,6
467,467,0
468,468,1
469,469,0
470,470,9
471,471,6
472,472,8
473,473,2
474,474,1
475,475,9
476,476,6
477,477,2
478,478,0
479,479,8
480,480,9
481,481,1
482,482,8
483,483,6
484,484,1
485,485,1
486,486,9
487,487,9
488,488,9
489,489,0
490,490,8
491,491,9
492,492,3
493,493,1
494,494,5
495,495,8
496,496,6
497,497,6
498,498,1
499,499,7
500,500,0
501,501,9
502,502,0
503,503,6
504,504,8
505,505,9
506,506,6
507,507,2
508,508,9
509,509,9
510,510,0
511,511,6
512,512,1
513,513,0
514,514,0
515,515,9
516,516,9
517,517,3
518,518,9
519,519,2
520,520,0
521,521,6
522,522,9
523,523,1
524,524,6
525,525,1
526,526,9
527,527,0
528,528,9
529,529,3
530,530,2
531,531,9
532,532,1
533,533,6
534,534,9
535,535,9
536,536,9
537,537,1
538,538,6
539,539,9
540,540,7
541,541,9
542,542,6
543,543,6
544,544,6
545,545,1
546,546,0
547,547,9
548,548,8
549,549,8
550,550,6
551,551,0
552,552,9
553,553,9
554,554,6
555,555,8
556,556,8
557,557,1
558,558,8
559,559,8
560,560,9
561,561,1
562,562,9
563,563,8
564,564,9
565,565,6
566,566,6
567,567,8
568,568,9
569,569,8
570,570,8
571,571,9
572,572,6
573,573,0
574,574,6
575,575,0
576,576,6
577,577,1
578,578,6
579,579,7
580,580,1
581,581,3
